dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2022-12-28,74.0,300,kcal,0,0,0,0,0,0
2022-12-29,215.0,300,kcal,0,0,0,0,0,0
2022-12-30,210.0,300,kcal,0,0,0,0,0,0
2022-12-31,72.0,300,kcal,0,0,0,0,0,0
2023-01-01,352.0,300,kcal,0,0,0,0,0,0
2023-01-02,78.0,300,kcal,0,0,0,0,0,0
2023-01-03,140.0,300,kcal,0,0,0,0,0,0
2023-01-04,335.0,300,kcal,0,0,0,0,0,0
2023-01-05,416.0,300,kcal,0,0,0,0,0,0
2023-01-06,423.0,300,kcal,0,0,0,0,0,0
2023-01-07,161.0,300,kcal,0,0,0,0,0,0
2023-01-08,232.0,300,kcal,0,0,0,0,0,0
2023-01-09,483.0,300,kcal,0,0,0,0,0,0
2023-01-10,418.0,300,kcal,0,0,0,0,0,0
2023-01-11,196.0,300,kcal,0,0,0,0,0,0
2023-01-12,483.0,300,kcal,0,0,0,0,0,0
2023-01-13,416.0,300,kcal,0,0,0,0,0,0
2023-01-14,243.0,300,kcal,0,0,0,0,0,0
2023-01-15,109.0,300,kcal,0,0,0,0,0,0
2023-01-16,294.0,300,kcal,0,0,0,0,0,0
2023-01-17,138.0,300,kcal,0,0,0,0,0,0
2023-01-18,173.0,300,kcal,0,0,0,0,0,0
2023-01-19,473.0,300,kcal,0,0,0,0,0,0
2023-01-20,178.0,300,kcal,0,0,0,0,0,0
2023-01-21,32.0,300,kcal,0,0,0,0,0,0
2023-01-22,127.0,300,kcal,0,0,0,0,0,0
2023-01-23,142.0,300,kcal,0,0,0,0,0,0
2023-01-24,127.0,300,kcal,0,0,0,0,0,0
2023-01-25,217.0,300,kcal,0,0,0,0,0,0
2023-01-26,146.0,300,kcal,0,0,0,0,0,0
2023-01-27,138.0,300,kcal,0,0,0,0,0,0
2023-01-28,291.0,300,kcal,0,0,0,0,0,0
2023-01-29,314.0,300,kcal,0,0,0,0,0,0
2023-01-30,398.0,300,kcal,0,0,0,0,0,0
2023-01-31,330.0,300,kcal,0,0,0,0,0,0
2023-02-01,281.0,300,kcal,0,0,0,0,0,0
2023-02-02,458.0,300,kcal,0,0,0,0,0,0
2023-02-03,357.0,300,kcal,0,0,0,0,0,0
2023-02-04,194.0,300,kcal,0,0,0,0,0,0
2023-02-05,161.0,300,kcal,0,0,0,0,0,0
2023-02-06,255.0,300,kcal,0,0,0,0,0,0
2023-02-07,230.0,300,kcal,0,0,0,0,0,0
2023-02-08,302.0,300,kcal,0,0,0,0,0,0
2023-02-09,374.0,300,kcal,0,0,0,0,0,0
2023-02-10,307.0,300,kcal,0,0,0,0,0,0
2023-02-11,82.0,300,kcal,0,0,0,0,0,0
2023-02-12,180.0,300,kcal,0,0,0,0,0,0
2023-02-13,322.0,300,kcal,0,0,0,0,0,0
2023-02-14,304.0,300,kcal,0,0,0,0,0,0
2023-02-15,319.0,300,kcal,0,0,0,0,0,0
2023-02-16,424.0,300,kcal,0,0,0,0,0,0
2023-02-17,238.0,300,kcal,0,0,0,0,0,0
2023-02-18,430.0,300,kcal,0,0,0,0,0,0
2023-02-19,336.0,300,kcal,0,0,0,0,0,0
2023-02-20,490.0,300,kcal,0,0,0,0,0,0
2023-02-21,306.0,300,kcal,0,0,0,0,0,0
2023-02-22,473.0,300,kcal,0,0,0,0,0,0
2023-02-23,366.0,300,kcal,0,0,0,0,0,0
2023-02-24,367.0,300,kcal,0,0,0,0,0,0
2023-02-25,464.0,300,kcal,0,0,0,0,0,0
2023-02-26,542.0,300,kcal,0,0,0,0,0,0
2023-02-27,280.0,300,kcal,0,0,0,0,0,0
2023-02-28,439.0,300,kcal,0,0,0,0,0,0
2023-03-01,466.0,300,kcal,0,0,0,0,0,0
2023-03-02,488.0,300,kcal,0,0,0,0,0,0
2023-03-03,604.0,300,kcal,0,0,0,0,0,0
2023-03-04,173.0,300,kcal,0,0,0,0,0,0
2023-03-05,186.0,300,kcal,0,0,0,0,0,0
2023-03-06,404.0,300,kcal,0,0,0,0,0,0
2023-03-07,273.0,300,kcal,0,0,0,0,0,0
2023-03-08,273.0,300,kcal,0,0,0,0,0,0
2023-03-09,249.0,300,kcal,0,0,0,0,0,0
2023-03-10,216.0,300,kcal,0,0,0,0,0,0
2023-03-11,191.0,300,kcal,0,0,0,0,0,0
2023-03-12,216.0,300,kcal,0,0,0,0,0,0
2023-03-13,136.0,300,kcal,0,0,0,0,0,0
2023-03-14,162.0,300,kcal,0,0,0,0,0,0
2023-03-15,140.0,300,kcal,0,0,0,0,0,0
2023-03-16,168.0,300,kcal,0,0,0,0,0,0
2023-03-17,158.0,300,kcal,0,0,0,0,0,0
2023-03-18,264.0,300,kcal,0,0,0,0,0,0
2023-03-19,284.0,300,kcal,0,0,0,0,0,0
2023-03-20,314.0,300,kcal,0,0,0,0,0,0
2023-03-21,394.0,300,kcal,0,0,0,0,0,0
2023-03-22,248.0,300,kcal,0,0,0,0,0,0
2023-03-23,58.0,300,kcal,0,0,0,0,0,0
2023-03-24,260.0,300,kcal,0,0,0,0,0,0
2023-03-25,253.0,300,kcal,0,0,0,0,0,0
